Text,Sentiments,Multi
"Und viele Prinzen wollen in das Schloss. Die Prinzen wollen Dornröschen wecken.",positive,no
"Aber die Dornenhecke bedeckt das ganze Schloss. Und die Dornen sind sehr gefährlich.",negative,no
"Viele Prinzen stechen sich an den Dornen. Und viele Prinzen sterben.",negative,no
"Dornröschen schläft jetzt schon 100 Jahre. Aber kein Prinz konnte Dornröschen wecken.",negative,no
"Da kommt ein besonderer Prinz in das Land. Der Prinz hört die Geschichte von Dornröschen.",neutral,no
"Der Prinz denkt: Viele Prinzen wollten Dornröschen wecken. Und viele Prinzen sind in der Dornenhecke gestorben.",neutral,no
"Aber ich habe keine Angst. Ich werde Dornröschen wecken.",positive,no
"Und so reitet der Prinz zum Schloss von Dornröschen. Der Prinz kommt zu dem Schloss von Dornröschen. Und der Prinz sieht die Dornenhecke.",neutral,no
"Der Prinz entdeckt einen geheimen Weg. Dieser Weg führt durch die Dornenhecke.",neutral,no
"Der Prinz geht den Weg entlang. Und der Prinz sticht sich nicht an den Dornen.",positive,no
"So kommt der Prinz bis ins Schloss. Im Schloss ist es ganz still. Alle schlafen nämlich.",neutral,no
"Der Prinz geht durch das Schloss. Und der Prinz findet den alten Turm.",neutral,no
"Im Turm liegt Dornröschen auf einem Bett. Und schläft.",neutral,no
"Der Prinz sieht Dornröschen. Und der Prinz denkt: Dornröschen ist sehr schön.",positive,no
"Der Prinz bückt sich zu Dornröschen herunter. Und der Prinz küsst Dornröschen.",positive,no
"Plötzlich öffnet Dornröschen die Augen. And Dornröschen lächelt den Prinzen an.",positive,no
"Jetzt erwachen auch die Menschen im Schloss: Der König und die Königin. Der Koch. Die Diener.",positive,no
"Und auch die Tiere erwachen: Die Pferde im Stall. Die Tauben auf dem Dach. Und die Fliegen an der Wand.",positive,no
"Das Schloss ist wieder voller Leben.",positive,no
"Dornröschen und der Prinz heiraten. Und alle Menschen im Land feiern ein großes Fest.",positive,no
"Und Dornröschen und der Prinz leben für immer glücklich zusammen. Das war das Märchen von Dornröschen.",positive,no
